,Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
17718,M. Warming,17,Denmark,51,66,Brøndby IF,ST,50.0,36.0,40.0,49.0,47.0,50.0,40.0,36.0,47.0,40.0,49.0,50.0,47.0,50.0,42.0,50.0,40.0,36.0,47.0,40.0,49.0,50.0,47.0,50.0,42.0,47.0
17885,S. McSweeney,19,Republic of Ireland,49,59,Limerick FC,ST,48.0,29.0,34.0,48.0,45.0,48.0,34.0,29.0,45.0,34.0,48.0,48.0,48.0,48.0,36.0,48.0,34.0,29.0,45.0,34.0,48.0,48.0,48.0,48.0,36.0,48.0
17730,F. Roepstorff,19,Denmark,51,70,FC Helsingør,ST,52.0,40.0,44.0,51.0,50.0,52.0,42.0,40.0,50.0,44.0,51.0,52.0,48.0,51.0,44.0,52.0,42.0,40.0,50.0,44.0,51.0,52.0,48.0,51.0,44.0,48.0
17795,A. Junge,24,Denmark,50,56,FC Helsingør,ST,48.0,29.0,33.0,49.0,42.0,48.0,35.0,29.0,42.0,33.0,49.0,48.0,49.0,49.0,37.0,48.0,35.0,29.0,42.0,33.0,49.0,48.0,49.0,49.0,37.0,49.0
17284,S. Brady,21,Australia,53,64,Brisbane Roar,ST,53.0,40.0,43.0,52.0,49.0,53.0,46.0,40.0,49.0,43.0,52.0,53.0,49.0,53.0,46.0,53.0,46.0,40.0,49.0,43.0,52.0,53.0,49.0,53.0,46.0,49.0
17799,T. Knowles,18,England,50,71,Cambridge United,ST,46.0,33.0,33.0,48.0,40.0,46.0,34.0,33.0,40.0,33.0,48.0,45.0,49.0,46.0,35.0,46.0,34.0,33.0,40.0,33.0,48.0,45.0,49.0,46.0,35.0,49.0
16236,J. Earl,18,England,57,69,Preston North End,ST,49.0,51.0,51.0,50.0,49.0,49.0,56.0,51.0,49.0,51.0,50.0,53.0,49.0,52.0,56.0,49.0,56.0,51.0,49.0,51.0,50.0,53.0,49.0,52.0,56.0,49.0
17800,N. Blasucci,17,Switzerland,50,67,FC St. Gallen,ST,49.0,25.0,28.0,50.0,41.0,49.0,30.0,25.0,41.0,28.0,50.0,47.0,49.0,50.0,32.0,49.0,30.0,25.0,41.0,28.0,50.0,47.0,49.0,50.0,32.0,49.0
17821,S. Nolan,17,Republic of Ireland,50,62,Bohemian FC,ST,49.0,33.0,36.0,50.0,44.0,49.0,39.0,33.0,44.0,36.0,50.0,50.0,49.0,50.0,40.0,49.0,39.0,33.0,44.0,36.0,50.0,50.0,49.0,50.0,40.0,49.0
17823,S. Kogut,20,Poland,50,59,Termalica Bruk-Bet Nieciecza,ST,44.0,32.0,31.0,46.0,38.0,44.0,32.0,32.0,38.0,31.0,46.0,44.0,49.0,45.0,34.0,44.0,32.0,32.0,38.0,31.0,46.0,44.0,49.0,45.0,34.0,49.0
17827,J. Johansson,18,Denmark,50,64,FC Nordsjælland,ST,47.0,30.0,32.0,48.0,41.0,47.0,32.0,30.0,41.0,32.0,48.0,46.0,49.0,47.0,34.0,47.0,32.0,30.0,41.0,32.0,48.0,46.0,49.0,47.0,34.0,49.0
17841,J. McMenemy,18,England,50,64,Lincoln City,ST,45.0,30.0,31.0,47.0,39.0,45.0,34.0,30.0,39.0,31.0,47.0,46.0,49.0,47.0,36.0,45.0,34.0,30.0,39.0,31.0,47.0,46.0,49.0,47.0,36.0,49.0
17845,A. Berisha,19,Sweden,50,65,Halmstads BK,ST,43.0,39.0,36.0,45.0,40.0,43.0,35.0,39.0,40.0,36.0,45.0,42.0,49.0,43.0,35.0,43.0,35.0,39.0,40.0,36.0,45.0,42.0,49.0,43.0,35.0,49.0
17850,A. Rose,18,Jamaica,50,60,Grimsby Town,ST,47.0,36.0,36.0,49.0,42.0,47.0,40.0,36.0,42.0,36.0,49.0,48.0,49.0,49.0,40.0,47.0,40.0,36.0,42.0,36.0,49.0,48.0,49.0,49.0,40.0,49.0
17860,J. Aherne,18,Republic of Ireland,50,64,Bray Wanderers,ST,48.0,34.0,35.0,50.0,43.0,48.0,38.0,34.0,43.0,35.0,50.0,49.0,49.0,50.0,39.0,48.0,38.0,34.0,43.0,35.0,50.0,49.0,49.0,50.0,39.0,49.0
17861,A. Bruseth,18,Norway,50,62,Kristiansund BK,ST,46.0,29.0,29.0,48.0,39.0,46.0,32.0,29.0,39.0,29.0,48.0,46.0,49.0,48.0,33.0,46.0,32.0,29.0,39.0,29.0,48.0,46.0,49.0,48.0,33.0,49.0
17878,L. Demaj,19,Germany,50,64,SV Meppen,ST,49.0,27.0,31.0,50.0,42.0,49.0,34.0,27.0,42.0,31.0,50.0,49.0,49.0,51.0,36.0,49.0,34.0,27.0,42.0,31.0,50.0,49.0,49.0,51.0,36.0,49.0
17881,J. Gray,19,Republic of Ireland,50,60,Stevenage,ST,47.0,27.0,29.0,48.0,39.0,47.0,31.0,27.0,39.0,29.0,48.0,46.0,49.0,48.0,32.0,47.0,31.0,27.0,39.0,29.0,48.0,46.0,49.0,48.0,32.0,49.0
17884,M. Moric,17,Australia,50,66,Newcastle Jets,ST,49.0,28.0,32.0,50.0,43.0,49.0,33.0,28.0,43.0,32.0,50.0,48.0,49.0,49.0,35.0,49.0,33.0,28.0,43.0,32.0,50.0,48.0,49.0,49.0,35.0,49.0
16862,C. Senior,20,England,55,67,Colchester United,ST,51.0,32.0,37.0,52.0,45.0,51.0,41.0,32.0,45.0,37.0,52.0,54.0,49.0,54.0,43.0,51.0,41.0,32.0,45.0,37.0,52.0,54.0,49.0,54.0,43.0,49.0
17809,G. Fasolo,18,Italy,50,65,Cittadella,ST,53.0,27.0,35.0,52.0,48.0,53.0,34.0,27.0,48.0,35.0,52.0,53.0,49.0,53.0,38.0,53.0,34.0,27.0,48.0,35.0,52.0,53.0,49.0,53.0,38.0,49.0
17657,A. Georgiou,17,Cyprus,51,65,Stevenage,ST,46.0,30.0,31.0,49.0,39.0,46.0,34.0,30.0,39.0,31.0,49.0,47.0,50.0,49.0,35.0,46.0,34.0,30.0,39.0,31.0,49.0,47.0,50.0,49.0,35.0,50.0
16275,A. Beestin,19,England,57,64,Doncaster Rovers,ST,56.0,45.0,49.0,54.0,54.0,56.0,49.0,45.0,54.0,49.0,54.0,57.0,50.0,55.0,51.0,56.0,49.0,45.0,54.0,49.0,54.0,57.0,50.0,55.0,51.0,50.0
17640,M. O'Connor,18,Republic of Ireland,51,64,Shamrock Rovers,ST,47.0,31.0,32.0,49.0,41.0,47.0,34.0,31.0,41.0,32.0,49.0,46.0,50.0,47.0,35.0,47.0,34.0,31.0,41.0,32.0,49.0,46.0,50.0,47.0,35.0,50.0
17663,K. Weber,20,Denmark,51,63,Odense Boldklub,ST,48.0,32.0,33.0,49.0,43.0,48.0,33.0,32.0,43.0,33.0,49.0,46.0,50.0,47.0,34.0,48.0,33.0,32.0,43.0,33.0,49.0,46.0,50.0,47.0,34.0,50.0
16809,P. Vagic,17,Sweden,55,72,Malmö FF,ST,53.0,34.0,39.0,53.0,47.0,53.0,41.0,34.0,47.0,39.0,53.0,54.0,50.0,54.0,43.0,53.0,41.0,34.0,47.0,39.0,53.0,54.0,50.0,54.0,43.0,50.0
17680,E. McCormack,22,Republic of Ireland,51,58,Galway United,ST,46.0,31.0,32.0,49.0,41.0,46.0,33.0,31.0,41.0,32.0,49.0,46.0,50.0,48.0,34.0,46.0,33.0,31.0,41.0,32.0,49.0,46.0,50.0,48.0,34.0,50.0
17688,R. Meshino,19,Japan,51,64,Gamba Osaka,ST,47.0,28.0,30.0,49.0,41.0,47.0,32.0,28.0,41.0,30.0,49.0,47.0,50.0,48.0,34.0,47.0,32.0,28.0,41.0,30.0,49.0,47.0,50.0,48.0,34.0,50.0
17695,H. Sharahili,24,Saudi Arabia,51,58,Al Batin,ST,47.0,31.0,31.0,49.0,40.0,47.0,35.0,31.0,40.0,31.0,49.0,47.0,50.0,49.0,36.0,47.0,35.0,31.0,40.0,31.0,49.0,47.0,50.0,49.0,36.0,50.0
17666,J. Dyche,19,England,51,67,Scunthorpe United,ST,49.0,48.0,46.0,50.0,47.0,49.0,48.0,48.0,47.0,46.0,50.0,50.0,50.0,50.0,48.0,49.0,48.0,48.0,47.0,46.0,50.0,50.0,50.0,50.0,48.0,50.0
17736,J. Iaciofano,18,England,51,67,Northampton Town,ST,50.0,28.0,33.0,52.0,43.0,50.0,35.0,28.0,43.0,33.0,52.0,51.0,50.0,52.0,37.0,50.0,35.0,28.0,43.0,33.0,52.0,51.0,50.0,52.0,37.0,50.0
17739,P. Camará,20,Guinea Bissau,51,66,Crawley Town,ST,47.0,29.0,30.0,49.0,40.0,47.0,35.0,29.0,40.0,30.0,49.0,48.0,50.0,50.0,36.0,47.0,35.0,29.0,40.0,30.0,49.0,48.0,50.0,50.0,36.0,50.0
17754,N. Gómez,20,Colombia,51,63,Deportivo Pasto,ST,48.0,31.0,32.0,50.0,42.0,48.0,35.0,31.0,42.0,32.0,50.0,48.0,50.0,49.0,37.0,48.0,35.0,31.0,42.0,32.0,50.0,48.0,50.0,49.0,37.0,50.0
17722,A. Nadesan,22,England,51,55,Fleetwood Town,ST,45.0,30.0,30.0,47.0,39.0,45.0,32.0,30.0,39.0,30.0,47.0,44.0,50.0,46.0,33.0,45.0,32.0,30.0,39.0,30.0,47.0,44.0,50.0,46.0,33.0,50.0
17765,O. Dale,18,England,51,68,Crewe Alexandra,ST,46.0,30.0,31.0,49.0,39.0,46.0,35.0,30.0,39.0,31.0,49.0,47.0,50.0,48.0,36.0,46.0,35.0,30.0,39.0,31.0,49.0,47.0,50.0,48.0,36.0,50.0
17466,M. Penfold,18,England,52,68,Peterborough United,ST,48.0,29.0,30.0,50.0,41.0,48.0,33.0,29.0,41.0,30.0,50.0,47.0,51.0,49.0,34.0,48.0,33.0,29.0,41.0,30.0,50.0,47.0,51.0,49.0,34.0,51.0
17474,R. Dingwall,20,Scotland,52,66,Ross County FC,ST,49.0,30.0,32.0,50.0,43.0,49.0,33.0,30.0,43.0,32.0,50.0,47.0,51.0,49.0,34.0,49.0,33.0,30.0,43.0,32.0,50.0,47.0,51.0,49.0,34.0,51.0
17486,G. Newell,20,England,52,62,Motherwell,ST,47.0,33.0,33.0,49.0,42.0,47.0,33.0,33.0,42.0,33.0,49.0,46.0,51.0,48.0,35.0,47.0,33.0,33.0,42.0,33.0,49.0,46.0,51.0,48.0,35.0,51.0
17476,M. Jay,21,England,52,59,Exeter City,ST,49.0,30.0,32.0,51.0,41.0,49.0,36.0,30.0,41.0,32.0,51.0,48.0,51.0,51.0,37.0,49.0,36.0,30.0,41.0,32.0,51.0,48.0,51.0,51.0,37.0,51.0
17492,S. Passi,22,India,52,61,,ST,47.0,37.0,37.0,49.0,42.0,47.0,39.0,37.0,42.0,37.0,49.0,48.0,51.0,49.0,40.0,47.0,39.0,37.0,42.0,37.0,49.0,48.0,51.0,49.0,40.0,51.0
17503,K. Ekman,19,Sweden,52,68,Jönköpings Södra IF,ST,47.0,29.0,30.0,49.0,41.0,47.0,33.0,29.0,41.0,30.0,49.0,46.0,51.0,48.0,34.0,47.0,33.0,29.0,41.0,30.0,49.0,46.0,51.0,48.0,34.0,51.0
17533,P. Sabbag,20,Colombia,52,67,Asociacion Deportivo Cali,ST,45.0,33.0,34.0,48.0,41.0,45.0,34.0,33.0,41.0,34.0,48.0,44.0,51.0,46.0,35.0,45.0,34.0,33.0,41.0,34.0,48.0,44.0,51.0,46.0,35.0,51.0
17539,C. Farren,18,Northern Ireland,52,63,Derry City,ST,47.0,34.0,34.0,49.0,41.0,47.0,35.0,34.0,41.0,34.0,49.0,46.0,51.0,47.0,36.0,47.0,35.0,34.0,41.0,34.0,49.0,46.0,51.0,47.0,36.0,51.0
17591,E. Jakobsen,19,Denmark,52,71,Derby County,ST,48.0,36.0,37.0,49.0,44.0,48.0,38.0,36.0,44.0,37.0,49.0,48.0,51.0,48.0,39.0,48.0,38.0,36.0,44.0,37.0,49.0,48.0,51.0,48.0,39.0,51.0
17601,J. Barrigan,19,England,52,67,Wigan Athletic,ST,46.0,29.0,30.0,49.0,40.0,46.0,31.0,29.0,40.0,30.0,49.0,45.0,51.0,47.0,32.0,46.0,31.0,29.0,40.0,30.0,49.0,45.0,51.0,47.0,32.0,51.0
17619,K. Velde,17,Norway,52,62,FK Haugesund,ST,49.0,31.0,33.0,51.0,42.0,49.0,34.0,31.0,42.0,33.0,51.0,48.0,51.0,49.0,35.0,49.0,34.0,31.0,42.0,33.0,51.0,48.0,51.0,49.0,35.0,51.0
17631,M. Gillam,18,England,52,66,Rochdale,ST,50.0,30.0,32.0,51.0,43.0,50.0,33.0,30.0,43.0,32.0,51.0,49.0,51.0,51.0,35.0,50.0,33.0,30.0,43.0,32.0,51.0,49.0,51.0,51.0,35.0,51.0
17638,C. McLennan,17,Scotland,52,72,Aberdeen,ST,49.0,33.0,35.0,50.0,44.0,49.0,35.0,33.0,44.0,35.0,50.0,48.0,51.0,49.0,36.0,49.0,35.0,33.0,44.0,35.0,50.0,48.0,51.0,49.0,36.0,51.0
17490,P. Waring,18,Australia,52,69,Melbourne Victory,ST,48.0,28.0,29.0,50.0,41.0,48.0,32.0,28.0,41.0,29.0,50.0,48.0,51.0,49.0,34.0,48.0,32.0,28.0,41.0,29.0,50.0,48.0,51.0,49.0,34.0,51.0
17274,H. Nilsen,18,Norway,53,65,Sandefjord Fotball,ST,47.0,31.0,32.0,49.0,42.0,47.0,32.0,31.0,42.0,32.0,49.0,46.0,52.0,47.0,33.0,47.0,32.0,31.0,42.0,32.0,49.0,46.0,52.0,47.0,33.0,52.0
17307,A. Waagan,17,Norway,53,68,Aalesunds FK,ST,49.0,30.0,33.0,51.0,43.0,49.0,35.0,30.0,43.0,33.0,51.0,49.0,52.0,51.0,37.0,49.0,35.0,30.0,43.0,33.0,51.0,49.0,52.0,51.0,37.0,52.0
17301,E. Gajko,21,Poland,53,61,Jagiellonia Białystok,ST,50.0,33.0,37.0,50.0,46.0,50.0,37.0,33.0,46.0,37.0,50.0,50.0,52.0,50.0,39.0,50.0,37.0,33.0,46.0,37.0,50.0,50.0,52.0,50.0,39.0,52.0
17290,F. Sosa,17,Argentina,53,75,Temperley,ST,50.0,34.0,36.0,51.0,44.0,50.0,40.0,34.0,44.0,36.0,51.0,51.0,52.0,52.0,41.0,50.0,40.0,34.0,44.0,36.0,51.0,51.0,52.0,52.0,41.0,52.0
17276,T. Seferi,20,FYR Macedonia,53,68,BSC Young Boys,ST,49.0,33.0,34.0,51.0,44.0,49.0,35.0,33.0,44.0,34.0,51.0,48.0,52.0,50.0,37.0,49.0,35.0,33.0,44.0,34.0,51.0,48.0,52.0,50.0,37.0,52.0
17269,P. Schoch,18,Germany,53,69,SpVgg Unterhaching,ST,46.0,36.0,36.0,49.0,41.0,46.0,37.0,36.0,41.0,36.0,49.0,46.0,52.0,48.0,38.0,46.0,37.0,36.0,41.0,36.0,49.0,46.0,52.0,48.0,38.0,52.0
16953,S. Kenny,24,Republic of Ireland,55,60,Limerick FC,ST,53.0,36.0,41.0,53.0,49.0,53.0,43.0,36.0,49.0,41.0,53.0,54.0,52.0,54.0,45.0,53.0,43.0,36.0,49.0,41.0,53.0,54.0,52.0,54.0,45.0,52.0
17247,C. Hall,19,England,53,65,Bolton Wanderers,ST,51.0,33.0,35.0,52.0,43.0,51.0,36.0,33.0,43.0,35.0,52.0,51.0,52.0,53.0,38.0,51.0,36.0,33.0,43.0,35.0,52.0,51.0,52.0,53.0,38.0,52.0
17243,J. Knowles,20,England,53,61,Perth Glory,ST,47.0,32.0,32.0,50.0,40.0,47.0,33.0,32.0,40.0,32.0,50.0,46.0,52.0,48.0,34.0,47.0,33.0,32.0,40.0,32.0,50.0,46.0,52.0,48.0,34.0,52.0
9521,T. Sana,27,Sweden,66,66,Aarhus GF,ST,65.0,36.0,46.0,61.0,59.0,65.0,47.0,36.0,59.0,46.0,61.0,65.0,52.0,65.0,51.0,65.0,47.0,36.0,59.0,46.0,61.0,65.0,52.0,65.0,51.0,52.0
15346,V. Henry,23,France,59,65,Stade Brestois 29,ST,57.0,35.0,41.0,55.0,52.0,57.0,41.0,35.0,52.0,41.0,55.0,58.0,52.0,59.0,44.0,57.0,41.0,35.0,52.0,41.0,55.0,58.0,52.0,59.0,44.0,52.0
17310,R. Webb-Foster,19,England,53,68,Bradford City,ST,48.0,29.0,32.0,51.0,41.0,48.0,36.0,29.0,41.0,32.0,51.0,49.0,52.0,50.0,37.0,48.0,36.0,29.0,41.0,32.0,51.0,49.0,52.0,50.0,37.0,52.0
17971,R. White,18,England,47,65,Bolton Wanderers,ST,48.0,32.0,33.0,49.0,42.0,48.0,33.0,32.0,42.0,33.0,49.0,46.0,52.0,47.0,34.0,48.0,33.0,32.0,42.0,33.0,49.0,46.0,52.0,47.0,34.0,52.0
16851,P. Omombe,22,France,55,61,Paris FC,ST,53.0,35.0,38.0,54.0,46.0,53.0,40.0,35.0,46.0,38.0,54.0,53.0,52.0,55.0,42.0,53.0,40.0,35.0,46.0,38.0,54.0,53.0,52.0,55.0,42.0,52.0
17252,G. Morrison,19,Scotland,53,64,Ross County FC,ST,48.0,30.0,31.0,50.0,41.0,48.0,33.0,30.0,41.0,31.0,50.0,46.0,52.0,49.0,34.0,48.0,33.0,30.0,41.0,31.0,50.0,46.0,52.0,49.0,34.0,52.0
17321,Lee Jung Jin,23,Korea Republic,53,60,Gangwon FC,ST,51.0,39.0,42.0,52.0,48.0,51.0,43.0,39.0,48.0,42.0,52.0,51.0,52.0,51.0,43.0,51.0,43.0,39.0,48.0,42.0,52.0,51.0,52.0,51.0,43.0,52.0
17316,M. Al Maqadi,28,Saudi Arabia,53,53,Ettifaq FC,ST,46.0,33.0,32.0,49.0,41.0,46.0,32.0,33.0,41.0,32.0,49.0,45.0,52.0,47.0,33.0,46.0,32.0,33.0,41.0,32.0,49.0,45.0,52.0,47.0,33.0,52.0
17459,R. Deakin,20,Wales,53,61,Morecambe,ST,46.0,30.0,30.0,48.0,40.0,46.0,31.0,30.0,40.0,30.0,48.0,45.0,52.0,47.0,32.0,46.0,31.0,30.0,40.0,30.0,48.0,45.0,52.0,47.0,32.0,52.0
17435,C. Peters,18,England,53,69,Walsall,ST,47.0,30.0,32.0,49.0,41.0,47.0,35.0,30.0,41.0,32.0,49.0,47.0,52.0,49.0,36.0,47.0,35.0,30.0,41.0,32.0,49.0,47.0,52.0,49.0,36.0,52.0
17403,H. Al Jasim,22,Saudi Arabia,53,60,Al Fateh,ST,48.0,38.0,40.0,50.0,45.0,48.0,38.0,38.0,45.0,40.0,50.0,47.0,52.0,48.0,39.0,48.0,38.0,38.0,45.0,40.0,50.0,47.0,52.0,48.0,39.0,52.0
17436,T. Blake,19,England,53,66,Mansfield Town,ST,54.0,41.0,43.0,53.0,50.0,54.0,45.0,41.0,50.0,43.0,53.0,54.0,52.0,54.0,46.0,54.0,45.0,41.0,50.0,43.0,53.0,54.0,52.0,54.0,46.0,52.0
17344,L. Pompilio,25,Italy,53,56,Foggia,ST,48.0,30.0,32.0,50.0,43.0,48.0,32.0,30.0,43.0,32.0,50.0,46.0,52.0,48.0,34.0,48.0,32.0,30.0,43.0,32.0,50.0,46.0,52.0,48.0,34.0,52.0
17453,J. Umerah,20,Nigeria,53,70,Wycombe Wanderers,ST,49.0,34.0,36.0,51.0,45.0,49.0,36.0,34.0,45.0,36.0,51.0,48.0,52.0,49.0,37.0,49.0,36.0,34.0,45.0,36.0,51.0,48.0,52.0,49.0,37.0,52.0
17423,K. Sterling,18,England,53,73,Tottenham Hotspur,ST,49.0,30.0,32.0,51.0,42.0,49.0,35.0,30.0,42.0,32.0,51.0,49.0,52.0,51.0,37.0,49.0,35.0,30.0,42.0,32.0,51.0,49.0,52.0,51.0,37.0,52.0
17411,M. Doyle,18,Republic of Ireland,53,63,Drogheda United,ST,48.0,32.0,34.0,51.0,43.0,48.0,37.0,32.0,43.0,34.0,51.0,49.0,52.0,50.0,38.0,48.0,37.0,32.0,43.0,34.0,51.0,49.0,52.0,50.0,38.0,52.0
17464,O. Edlund,17,Sweden,53,65,Hammarby IF,ST,51.0,31.0,37.0,51.0,47.0,51.0,35.0,31.0,47.0,37.0,51.0,49.0,52.0,49.0,36.0,51.0,35.0,31.0,47.0,37.0,51.0,49.0,52.0,49.0,36.0,52.0
17401,A. Zeqiri,18,Switzerland,53,75,FC Lausanne-Sports,ST,48.0,32.0,32.0,51.0,42.0,48.0,34.0,32.0,42.0,32.0,51.0,48.0,52.0,49.0,35.0,48.0,34.0,32.0,42.0,32.0,51.0,48.0,52.0,49.0,35.0,52.0
17395,J. Antwi-Nyame,18,England,53,68,AFC Wimbledon,ST,48.0,31.0,33.0,49.0,41.0,48.0,36.0,31.0,41.0,33.0,49.0,49.0,52.0,50.0,37.0,48.0,36.0,31.0,41.0,33.0,49.0,49.0,52.0,50.0,37.0,52.0
17390,L. Krakowczyk,19,Poland,53,69,Piast Gliwice,ST,53.0,29.0,33.0,54.0,46.0,53.0,34.0,29.0,46.0,33.0,54.0,52.0,52.0,54.0,37.0,53.0,34.0,29.0,46.0,33.0,54.0,52.0,52.0,54.0,37.0,52.0
17388,G. Foulon,18,France,53,72,Valenciennes FC,ST,52.0,31.0,35.0,53.0,46.0,52.0,35.0,31.0,46.0,35.0,53.0,51.0,52.0,52.0,37.0,52.0,35.0,31.0,46.0,35.0,53.0,51.0,52.0,52.0,37.0,52.0
17705,A. Gilchrist,22,Scotland,51,61,St. Johnstone FC,ST,50.0,50.0,47.0,52.0,47.0,50.0,49.0,50.0,47.0,47.0,52.0,49.0,52.0,50.0,48.0,50.0,49.0,50.0,47.0,47.0,52.0,49.0,52.0,50.0,48.0,52.0
17375,M. Ramkilde,19,Denmark,53,68,Aalborg BK,ST,50.0,43.0,44.0,51.0,48.0,50.0,43.0,43.0,48.0,44.0,51.0,50.0,52.0,50.0,43.0,50.0,43.0,43.0,48.0,44.0,51.0,50.0,52.0,50.0,43.0,52.0
17374,C. Saunders,21,Wales,53,63,Notts County,ST,51.0,31.0,36.0,52.0,46.0,51.0,37.0,31.0,46.0,36.0,52.0,52.0,52.0,52.0,39.0,51.0,37.0,31.0,46.0,36.0,52.0,52.0,52.0,52.0,39.0,52.0
17368,W. Nowak,18,Poland,53,69,Sandecja Nowy Sącz,ST,46.0,33.0,32.0,48.0,40.0,46.0,33.0,33.0,40.0,32.0,48.0,46.0,52.0,47.0,34.0,46.0,33.0,33.0,40.0,32.0,48.0,46.0,52.0,47.0,34.0,52.0
17362,C. Ellis,20,Republic of Ireland,53,66,Cork City,ST,48.0,34.0,36.0,50.0,43.0,48.0,38.0,34.0,43.0,36.0,50.0,49.0,52.0,50.0,39.0,48.0,38.0,34.0,43.0,36.0,50.0,49.0,52.0,50.0,39.0,52.0
17359,T. Mannek,20,Germany,53,62,SC Paderborn 07,ST,45.0,41.0,37.0,48.0,41.0,45.0,37.0,41.0,41.0,37.0,48.0,44.0,52.0,46.0,37.0,45.0,37.0,41.0,41.0,37.0,48.0,44.0,52.0,46.0,37.0,52.0
17352,K. Krygård,17,Norway,53,60,FK Haugesund,ST,48.0,34.0,34.0,50.0,42.0,48.0,35.0,34.0,42.0,34.0,50.0,48.0,52.0,49.0,36.0,48.0,35.0,34.0,42.0,34.0,50.0,48.0,52.0,49.0,36.0,52.0
17431,B. Babic,19,Switzerland,53,62,FC St. Gallen,ST,48.0,31.0,32.0,50.0,42.0,48.0,33.0,31.0,42.0,32.0,50.0,46.0,52.0,48.0,34.0,48.0,33.0,31.0,42.0,32.0,50.0,46.0,52.0,48.0,34.0,52.0
17425,A. Al Obud,22,Saudi Arabia,53,63,Ettifaq FC,ST,50.0,29.0,32.0,51.0,43.0,50.0,34.0,29.0,43.0,32.0,51.0,49.0,52.0,50.0,35.0,50.0,34.0,29.0,43.0,32.0,51.0,49.0,52.0,50.0,35.0,52.0
17025,L. Pintor,16,France,54,78,Stade Brestois 29,ST,49.0,25.0,26.0,52.0,38.0,49.0,30.0,25.0,38.0,26.0,52.0,47.0,53.0,52.0,31.0,49.0,30.0,25.0,38.0,26.0,52.0,47.0,53.0,52.0,31.0,53.0
17034,K. Metz,19,Republic of Ireland,54,63,Burnley,ST,50.0,30.0,33.0,52.0,43.0,50.0,37.0,30.0,43.0,33.0,52.0,51.0,53.0,52.0,38.0,50.0,37.0,30.0,43.0,33.0,52.0,51.0,53.0,52.0,38.0,53.0
17003,E. Botheim,17,Norway,54,74,Rosenborg BK,ST,50.0,32.0,33.0,52.0,44.0,50.0,35.0,32.0,44.0,33.0,52.0,49.0,53.0,51.0,36.0,50.0,35.0,32.0,44.0,33.0,52.0,49.0,53.0,51.0,36.0,53.0
